City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Mana,GF,84.11,scattered clouds,5.6592,-53.7767,LE SAMANA
397,Mogadishu,SO,80.69,scattered clouds,2.0371,45.3438,Hotel Juba
399,Mutis,CO,73.53,heavy intensity rain,6.2262,-77.4044,Paraiso Escondido
400,Ginir,ET,62.47,broken clouds,7.1333,40.7,Sura Dare Village
401,Valparaiso,CL,61.72,light intensity drizzle,-33.0393,-71.6273,Hotel Ultramar
403,Monduli,TZ,74.91,overcast clouds,-3.3,36.45,Monduli Lutheran Youth Hostel
406,Saurimo,AO,82.72,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
407,Lubango,AO,75.9,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
408,Ritchie,ZA,78.01,clear sky,-29.038,24.6028,Riverside Country Club Modderrivier
410,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
412,Kualakapuas,ID,78.96,heavy intensity rain,-3.0091,114.3876,Guest House Izonk
415,Pa Sang,TH,73.6,scattered clouds,18.5262,98.9394,โรงแรม จามจุรี 99
419,Tarrafal,CV,86.79,scattered clouds,15.2833,-23.7667,Hotel Ixola
421,Vanimo,PG,78.85,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
424,Rio Grande,BR,73.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
427,Inhambane,MZ,80.58,scattered clouds,-23.865,35.3833,Oceano
430,Nouadhibou,MR,70.39,overcast clouds,20.931,-17.0347,El Medina
433,Airai,TL,62.06,broken clouds,-8.9266,125.4092,Juvinal Martin
435,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
436,Isangel,VU,75.31,scattered clouds,-19.55,169.2667,Tanna Lodge
439,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
440,Mitsamiouli,KM,86.29,few clouds,-11.3847,43.2844,Foyer ADM
441,Kawardha,IN,71.69,clear sky,22.0167,81.25,STARiHOTELS Raipur Road kawardha
449,Ambon,ID,82.58,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
450,Salinopolis,BR,86.68,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
451,Puri,IN,79.32,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
452,Kisangani,CD,79.66,overcast clouds,0.5167,25.2,Grand Ramela Hotel
453,Lorengau,PG,81.99,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
454,Cam Ranh,VN,78.76,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
456,Ericeira,PT,61.3,few clouds,38.9627,-9.4156,HOTEL PEDRO O PESCADOR
457,Gamba,GA,76.91,overcast clouds,-2.65,10.0,
459,Brownwood,US,60.8,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
461,Kaeo,NZ,61.32,light rain,-35.1,173.7833,Bushido Lodge
462,Antofagasta,CL,70.21,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
465,Kaili,ID,67.71,overcast clouds,-3.4626,120.2147,
467,Labrea,BR,80.91,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
468,Jiwani,PK,77.76,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
471,Sarangani,PH,83.23,overcast clouds,5.4033,125.4636,Ballistic Islet
472,Rio Gallegos,AR,60.85,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
473,Kudahuvadhoo,MV,81.84,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
475,Nizwa,OM,76.53,clear sky,22.9333,57.5333,Orient Apartments
476,Pekan,MY,77.11,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
478,Itoman,JP,66.22,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
484,Angoche,MZ,81.25,overcast clouds,-16.2325,39.9086,Guest House HESADA
485,Itarema,BR,89.76,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
487,Werda,BW,83.61,clear sky,-25.2667,23.2833,
490,Mumbwa,ZM,76.69,overcast clouds,-14.9783,27.0619,Mumbwa Motel
492,Alice Springs,AU,67.55,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
494,Beloha,MG,78.89,overcast clouds,-25.1667,45.05,
495,Kulhudhuffushi,MV,81.59,overcast clouds,6.6221,73.07,Haajy Guest House 1
496,Vao,NC,73.65,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
498,Namatanai,PG,79.43,light rain,-3.6667,152.4333,Seagulls Inn Namatani
