City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
128,Fukue,JP,32.6881,128.8419,54.59,59,100,22.26,overcast clouds,2021-11-23 15:33:39
129,Marsh Harbour,BS,26.5412,-77.0636,73.74,61,55,22.59,broken clouds,2021-11-23 15:33:40
130,Saint-Louis,SN,16.3333,-15.0,107.24,11,4,13.2,clear sky,2021-11-23 15:33:40
131,Faanui,PF,-16.4833,-151.75,79.9,72,100,2.93,overcast clouds,2021-11-23 15:33:40
132,Nanortalik,GL,60.1432,-45.2371,27.32,50,72,2.8,broken clouds,2021-11-23 15:33:41
133,Tiznit,MA,29.5833,-9.5,64.78,59,22,12.17,few clouds,2021-11-23 15:33:41
134,Tiksi,RU,71.6872,128.8694,-21.41,98,88,7.0,overcast clouds,2021-11-23 15:33:41
135,Ketchikan,US,55.3422,-131.6461,37.87,93,90,11.5,moderate rain,2021-11-23 15:31:26
136,Cabedelo,BR,-6.9811,-34.8339,86.67,64,98,12.59,overcast clouds,2021-11-23 15:33:42
137,Guerrero Negro,MX,27.9769,-114.0611,68.05,59,62,2.8,broken clouds,2021-11-23 15:33:37
138,Altay,CN,47.8667,88.1167,28.06,93,100,6.15,snow,2021-11-23 15:33:42
139,Gat,IL,31.61,34.7642,67.82,100,0,5.44,clear sky,2021-11-23 15:33:43
140,Port Lincoln,AU,-34.7333,135.8667,61.7,89,52,4.03,broken clouds,2021-11-23 15:33:43
141,Labuhan,ID,-6.8844,112.2051,77.41,92,100,15.48,moderate rain,2021-11-23 15:33:43
142,Mama,RU,58.3106,112.8986,-11.97,95,90,5.57,overcast clouds,2021-11-23 15:33:44
143,Bilibino,RU,68.0546,166.4372,-22.77,91,11,3.51,few clouds,2021-11-23 15:33:44
144,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,78,90,10.36,light snow,2021-11-23 15:33:44
145,Pacific Grove,US,36.6177,-121.9166,58.96,61,1,5.75,clear sky,2021-11-23 15:33:16
